rfid_tag,attendee_id,location_id,timestamp
R1024,A151,HALL_B,2025-09-01T10:19:05
R1124,A157,HALL_A,2025-09-01T08:15:44
R1011,A228,HALL_C,2025-09-01T13:19:04
R1052,A378,FOOD_COURT,2025-09-01T14:44:17
R1256,A365,HALL_C,2025-09-01T15:06:57
R1191,A132,HALL_B,2025-09-01T09:55:29
R1234,A360,LOBBY,2025-09-01T12:13:41
R1202,A232,HALL_C,2025-09-01T10:23:45
R1062,A157,LOBBY,2025-09-01T11:14:52
R1174,A231,HALL_A,2025-09-01T16:46:55
R1104,A151,HALL_B,2025-09-01T10:40:42
R1270,A203,HALL_C,2025-09-01T10:26:01
R1011,A141,HALL_B,2025-09-01T15:41:16
R1204,A156,HALL_B,2025-09-01T10:17:48
R1200,A216,FOOD_COURT,2025-09-01T16:31:19
R1095,A315,HALL_A,2025-09-01T15:10:16
R1228,A256,LOBBY,2025-09-01T08:37:48
R1161,A160,HALL_A,2025-09-01T09:42:17
R1041,A289,LOBBY,2025-09-01T17:49:42
R1042,A120,FOOD_COURT,2025-09-01T17:39:31
R1115,A198,HALL_A,2025-09-01T16:52:22
R1298,A134,FOOD_COURT,2025-09-01T17:23:55
R1201,A175,HALL_A,2025-09-01T14:33:57
R1203,A103,LOBBY,2025-09-01T12:50:52
R1281,A128,FOOD_COURT,2025-09-01T08:53:11
R1168,A148,HALL_B,2025-09-01T12:14:47
R1042,A163,FOOD_COURT,2025-09-01T08:26:15
R1081,A101,FOOD_COURT,2025-09-01T14:22:56
R1256,A176,LOBBY,2025-09-01T17:48:54
R1027,A101,FOOD_COURT,2025-09-01T16:36:24
R1039,A189,FOOD_COURT,2025-09-01T17:52:50
R1149,A313,HALL_A,2025-09-01T15:10:15
R1120,A166,HALL_C,2025-09-01T17:15:56
R1152,A194,HALL_C,2025-09-01T17:40:14
R1146,A330,HALL_B,2025-09-01T09:57:18
R1024,A370,LOBBY,2025-09-01T14:10:43
R1063,A312,LOBBY,2025-09-01T15:13:58
R1046,A258,FOOD_COURT,2025-09-01T13:39:30
R1247,A233,HALL_C,2025-09-01T12:20:03
R1225,A359,LOBBY,2025-09-01T08:12:13
R1136,A135,HALL_A,2025-09-01T13:57:34
R1041,A261,FOOD_COURT,2025-09-01T17:53:31
R1300,A328,HALL_A,2025-09-01T08:29:38
R1006,A181,HALL_A,2025-09-01T10:24:00
R1270,A349,HALL_B,2025-09-01T13:17:31
R1264,A107,HALL_C,2025-09-01T15:34:33
R1069,A270,FOOD_COURT,2025-09-01T09:56:35
R1201,A153,HALL_C,2025-09-01T13:11:31
R1183,A353,HALL_B,2025-09-01T16:42:19
R1048,A160,LOBBY,2025-09-01T15:46:17
R1054,A142,HALL_C,2025-09-01T12:28:43
R1076,A109,HALL_A,2025-09-01T16:20:05
R1086,A377,HALL_B,2025-09-01T08:34:15
R1284,A145,LOBBY,2025-09-01T10:24:01
R1106,A191,HALL_A,2025-09-01T11:08:26
R1250,A345,HALL_B,2025-09-01T16:04:26
R1130,A354,FOOD_COURT,2025-09-01T08:43:25
R1147,A270,LOBBY,2025-09-01T16:48:38
R1075,A293,LOBBY,2025-09-01T10:40:48
R1106,A374,FOOD_COURT,2025-09-01T12:15:35
R1066,A227,FOOD_COURT,2025-09-01T17:58:36
R1046,A354,HALL_C,2025-09-01T14:21:22
R1106,A208,FOOD_COURT,2025-09-01T15:31:43
R1168,A193,LOBBY,2025-09-01T13:55:49
R1101,A203,LOBBY,2025-09-01T08:09:31
R1274,A386,HALL_B,2025-09-01T09:01:18
R1034,A200,FOOD_COURT,2025-09-01T13:35:47
R1280,A117,HALL_A,2025-09-01T17:02:14
R1093,A113,HALL_C,2025-09-01T17:25:13
R1056,A165,FOOD_COURT,2025-09-01T10:40:47
R1300,A396,HALL_A,2025-09-01T17:28:46
R1176,A397,FOOD_COURT,2025-09-01T10:01:05
R1238,A122,HALL_A,2025-09-01T12:01:33
R1007,A141,HALL_B,2025-09-01T09:13:56
R1299,A382,FOOD_COURT,2025-09-01T11:15:18
R1162,A151,HALL_B,2025-09-01T14:33:48
R1300,A400,FOOD_COURT,2025-09-01T16:31:24
R1144,A235,HALL_B,2025-09-01T13:26:16
R1026,A375,FOOD_COURT,2025-09-01T15:21:44
R1300,A390,HALL_C,2025-09-01T10:49:46
R1258,A322,HALL_A,2025-09-01T16:45:16
R1254,A241,LOBBY,2025-09-01T11:48:02
R1133,A131,LOBBY,2025-09-01T16:18:11
R1207,A265,HALL_B,2025-09-01T14:13:22
R1093,A329,HALL_B,2025-09-01T08:40:41
R1021,A277,LOBBY,2025-09-01T14:31:17
R1143,A183,FOOD_COURT,2025-09-01T12:59:42
R1193,A374,LOBBY,2025-09-01T11:25:44
R1087,A283,LOBBY,2025-09-01T16:57:30
R1146,A234,HALL_C,2025-09-01T08:02:33
R1118,A191,HALL_C,2025-09-01T17:25:58
R1111,A312,HALL_C,2025-09-01T08:45:30
R1196,A384,FOOD_COURT,2025-09-01T12:48:21
R1007,A336,LOBBY,2025-09-01T08:37:36
R1268,A378,LOBBY,2025-09-01T12:22:43
R1056,A161,HALL_C,2025-09-01T14:46:02
R1058,A357,HALL_A,2025-09-01T11:57:04
R1260,A306,HALL_A,2025-09-01T14:39:10
R1215,A267,LOBBY,2025-09-01T14:26:34
R1289,A121,HALL_B,2025-09-01T13:07:54
R1125,A359,LOBBY,2025-09-01T15:06:16
R1047,A373,HALL_B,2025-09-01T17:24:07
R1203,A293,FOOD_COURT,2025-09-01T17:51:32
R1026,A155,HALL_C,2025-09-01T15:29:32
R1103,A190,HALL_C,2025-09-01T11:10:25
R1262,A304,FOOD_COURT,2025-09-01T08:55:51
R1297,A117,HALL_A,2025-09-01T14:37:09
R1289,A368,HALL_A,2025-09-01T09:39:11
R1129,A393,FOOD_COURT,2025-09-01T13:23:25
R1247,A212,HALL_A,2025-09-01T09:19:39
R1226,A348,HALL_B,2025-09-01T08:13:21
R1210,A252,LOBBY,2025-09-01T15:21:37
R1081,A288,HALL_C,2025-09-01T09:36:42
R1236,A283,FOOD_COURT,2025-09-01T16:57:25
R1009,A325,HALL_B,2025-09-01T15:28:26
R1082,A142,HALL_C,2025-09-01T11:35:33
R1053,A342,HALL_A,2025-09-01T17:51:14
R1286,A197,LOBBY,2025-09-01T15:19:47
R1273,A307,HALL_B,2025-09-01T11:52:52
R1080,A171,LOBBY,2025-09-01T08:19:57
R1044,A301,LOBBY,2025-09-01T15:41:34
R1140,A375,LOBBY,2025-09-01T16:48:50
R1002,A269,HALL_B,2025-09-01T11:54:10
R1157,A350,HALL_C,2025-09-01T13:06:29
R1084,A187,HALL_C,2025-09-01T16:42:51
R1123,A197,HALL_A,2025-09-01T14:20:11
R1243,A211,HALL_B,2025-09-01T10:14:31
R1225,A276,LOBBY,2025-09-01T08:35:02
R1252,A285,FOOD_COURT,2025-09-01T13:01:38
R1012,A213,FOOD_COURT,2025-09-01T08:49:34
R1089,A265,HALL_A,2025-09-01T10:55:26
R1016,A320,HALL_C,2025-09-01T09:27:23
R1218,A367,HALL_A,2025-09-01T17:20:12
R1173,A278,HALL_C,2025-09-01T11:05:58
R1187,A296,HALL_C,2025-09-01T08:13:59
R1142,A145,HALL_C,2025-09-01T09:59:27
R1214,A147,HALL_A,2025-09-01T16:37:12
R1112,A275,HALL_B,2025-09-01T17:04:57
R1058,A359,FOOD_COURT,2025-09-01T16:52:40
R1113,A364,FOOD_COURT,2025-09-01T12:28:58
R1234,A367,HALL_C,2025-09-01T10:03:15
R1273,A335,LOBBY,2025-09-01T08:49:18
R1125,A197,HALL_C,2025-09-01T13:46:27
R1053,A119,HALL_B,2025-09-01T08:13:23
R1163,A287,HALL_C,2025-09-01T15:42:49
R1025,A354,HALL_B,2025-09-01T16:06:53
R1087,A110,HALL_C,2025-09-01T15:01:36
R1044,A323,HALL_A,2025-09-01T13:48:20
R1009,A318,HALL_C,2025-09-01T08:30:13
R1198,A234,HALL_B,2025-09-01T10:07:28
R1108,A252,HALL_B,2025-09-01T11:16:39
R1284,A338,HALL_A,2025-09-01T12:59:11
R1271,A188,LOBBY,2025-09-01T13:31:43
R1209,A330,LOBBY,2025-09-01T10:55:46
R1169,A398,HALL_C,2025-09-01T11:37:21
R1077,A228,HALL_A,2025-09-01T10:09:44
R1202,A306,FOOD_COURT,2025-09-01T12:46:58
R1085,A184,HALL_B,2025-09-01T11:39:26
R1044,A247,LOBBY,2025-09-01T10:24:01
R1231,A251,HALL_C,2025-09-01T13:03:28
R1136,A259,HALL_A,2025-09-01T16:33:13
R1281,A208,LOBBY,2025-09-01T11:04:56
R1195,A206,HALL_A,2025-09-01T17:32:10
R1210,A207,FOOD_COURT,2025-09-01T13:37:00
R1097,A199,FOOD_COURT,2025-09-01T17:51:08
R1081,A366,FOOD_COURT,2025-09-01T17:44:44
R1259,A251,HALL_C,2025-09-01T09:16:37
R1226,A286,HALL_B,2025-09-01T16:47:17
R1261,A300,HALL_B,2025-09-01T08:08:03
R1078,A281,HALL_B,2025-09-01T10:51:13
R1208,A145,LOBBY,2025-09-01T16:01:50
R1210,A352,LOBBY,2025-09-01T17:05:16
R1073,A262,HALL_A,2025-09-01T14:31:25
R1298,A301,HALL_C,2025-09-01T08:32:13
R1300,A179,LOBBY,2025-09-01T09:24:01
R1046,A173,LOBBY,2025-09-01T08:16:11
R1130,A366,HALL_B,2025-09-01T17:02:19
R1102,A207,HALL_C,2025-09-01T15:22:00
R1245,A285,HALL_A,2025-09-01T16:07:29
R1056,A201,LOBBY,2025-09-01T17:52:05
R1156,A361,HALL_C,2025-09-01T09:38:08
R1139,A244,HALL_C,2025-09-01T16:11:27
R1136,A110,LOBBY,2025-09-01T14:37:03
R1171,A372,HALL_A,2025-09-01T16:40:26
R1128,A141,HALL_A,2025-09-01T16:57:29
R1011,A244,HALL_B,2025-09-01T16:30:42
R1056,A157,HALL_C,2025-09-01T16:23:37
R1074,A260,HALL_A,2025-09-01T12:57:40
R1281,A218,HALL_C,2025-09-01T17:59:09
R1017,A296,LOBBY,2025-09-01T10:49:40
R1263,A268,HALL_A,2025-09-01T13:39:24
R1100,A191,FOOD_COURT,2025-09-01T10:34:01
R1101,A291,HALL_C,2025-09-01T11:14:51
R1090,A313,LOBBY,2025-09-01T17:57:54
R1102,A192,HALL_C,2025-09-01T11:29:22
R1074,A245,LOBBY,2025-09-01T15:32:24
R1140,A367,FOOD_COURT,2025-09-01T16:40:36
R1012,A315,HALL_A,2025-09-01T16:25:14
R1107,A361,LOBBY,2025-09-01T08:00:28
R1116,A188,HALL_B,2025-09-01T16:06:59
R1151,A330,HALL_A,2025-09-01T15:58:35
R1160,A290,HALL_C,2025-09-01T17:34:14
R1207,A288,FOOD_COURT,2025-09-01T08:32:38
R1111,A208,LOBBY,2025-09-01T13:33:14
R1065,A207,FOOD_COURT,2025-09-01T16:24:05
R1029,A305,HALL_C,2025-09-01T17:09:00
R1127,A263,FOOD_COURT,2025-09-01T15:21:11
R1049,A136,HALL_B,2025-09-01T11:07:46
R1218,A386,FOOD_COURT,2025-09-01T11:53:10
R1242,A105,HALL_B,2025-09-01T09:08:49
R1119,A383,HALL_A,2025-09-01T12:46:28
R1183,A180,HALL_A,2025-09-01T12:05:47
R1037,A220,HALL_A,2025-09-01T17:18:57
R1278,A224,HALL_C,2025-09-01T17:22:16
R1114,A367,FOOD_COURT,2025-09-01T11:21:30
R1274,A246,HALL_B,2025-09-01T16:13:47
R1264,A188,HALL_C,2025-09-01T17:59:26
R1228,A132,HALL_A,2025-09-01T15:38:52
R1236,A204,FOOD_COURT,2025-09-01T14:21:22
R1005,A253,FOOD_COURT,2025-09-01T11:09:32
R1083,A247,HALL_C,2025-09-01T14:59:42
R1097,A140,HALL_A,2025-09-01T09:16:08
R1142,A337,HALL_A,2025-09-01T14:38:00
R1290,A389,HALL_A,2025-09-01T10:26:52
R1296,A151,LOBBY,2025-09-01T11:24:01
R1054,A378,HALL_C,2025-09-01T10:22:12
R1165,A139,HALL_B,2025-09-01T13:43:04
R1087,A324,LOBBY,2025-09-01T11:49:39
R1076,A358,HALL_A,2025-09-01T12:09:03
R1162,A381,HALL_A,2025-09-01T10:25:38
R1060,A325,LOBBY,2025-09-01T10:15:59
R1240,A215,HALL_C,2025-09-01T12:30:48
R1272,A384,FOOD_COURT,2025-09-01T11:09:08
R1236,A209,HALL_C,2025-09-01T08:28:18
R1289,A326,LOBBY,2025-09-01T16:39:49
R1146,A369,HALL_B,2025-09-01T13:26:30
R1271,A121,HALL_B,2025-09-01T12:28:48
R1123,A374,HALL_C,2025-09-01T13:53:24
R1039,A237,HALL_B,2025-09-01T16:07:04
R1177,A113,HALL_A,2025-09-01T15:42:57
R1138,A346,HALL_C,2025-09-01T17:37:37
R1113,A348,HALL_C,2025-09-01T17:56:52
R1151,A197,FOOD_COURT,2025-09-01T17:48:51
R1068,A362,HALL_C,2025-09-01T10:13:11
R1061,A113,LOBBY,2025-09-01T10:44:03
R1123,A249,FOOD_COURT,2025-09-01T16:33:26
R1150,A344,HALL_A,2025-09-01T13:31:30
R1043,A129,HALL_B,2025-09-01T17:09:58
R1110,A201,HALL_A,2025-09-01T14:18:19
R1216,A389,LOBBY,2025-09-01T10:18:27
R1085,A357,LOBBY,2025-09-01T12:34:18
R1223,A375,FOOD_COURT,2025-09-01T11:17:27
R1178,A285,HALL_C,2025-09-01T13:17:45
R1183,A198,HALL_B,2025-09-01T14:54:02
R1058,A204,HALL_B,2025-09-01T15:49:11
R1044,A190,HALL_A,2025-09-01T17:21:27
R1102,A159,HALL_C,2025-09-01T10:49:21
R1132,A185,FOOD_COURT,2025-09-01T09:41:30
R1133,A273,LOBBY,2025-09-01T09:02:07
R1165,A126,HALL_B,2025-09-01T11:36:43
R1017,A130,FOOD_COURT,2025-09-01T17:32:29
R1286,A237,HALL_C,2025-09-01T12:50:56
R1284,A269,LOBBY,2025-09-01T08:25:43
R1226,A209,HALL_A,2025-09-01T17:50:09
R1273,A202,LOBBY,2025-09-01T15:24:44
R1129,A196,HALL_C,2025-09-01T13:30:16
R1111,A166,FOOD_COURT,2025-09-01T13:17:11
R1085,A318,HALL_B,2025-09-01T15:58:21
R1195,A249,HALL_A,2025-09-01T12:21:08
R1046,A128,LOBBY,2025-09-01T17:25:15
R1292,A357,HALL_A,2025-09-01T08:57:34
R1166,A118,LOBBY,2025-09-01T17:03:36
R1099,A272,LOBBY,2025-09-01T14:23:05
R1196,A327,HALL_C,2025-09-01T11:04:55
R1274,A377,LOBBY,2025-09-01T08:46:28
R1264,A298,HALL_A,2025-09-01T15:34:08
R1278,A250,FOOD_COURT,2025-09-01T08:45:38
R1126,A245,LOBBY,2025-09-01T10:59:20
R1140,A103,HALL_C,2025-09-01T10:08:32
R1032,A250,HALL_A,2025-09-01T15:25:04
R1237,A282,HALL_B,2025-09-01T12:17:20
R1036,A310,HALL_B,2025-09-01T10:27:55
R1248,A383,HALL_A,2025-09-01T08:57:41
R1062,A307,HALL_C,2025-09-01T14:28:33
R1238,A192,FOOD_COURT,2025-09-01T11:26:01
R1032,A329,HALL_A,2025-09-01T14:12:40
R1191,A399,HALL_B,2025-09-01T17:41:46
R1037,A181,FOOD_COURT,2025-09-01T14:50:17
R1037,A359,LOBBY,2025-09-01T15:16:11
R1105,A341,HALL_B,2025-09-01T12:18:13
R1296,A293,HALL_C,2025-09-01T16:01:11
R1055,A375,HALL_A,2025-09-01T14:40:00
R1030,A393,FOOD_COURT,2025-09-01T17:32:24
R1036,A295,LOBBY,2025-09-01T17:23:47
R1052,A104,HALL_A,2025-09-01T16:22:54
R1070,A359,HALL_A,2025-09-01T10:30:11
R1234,A186,HALL_B,2025-09-01T14:36:31
R1147,A190,HALL_A,2025-09-01T10:54:24
R1082,A324,HALL_C,2025-09-01T09:14:49
R1060,A390,HALL_C,2025-09-01T15:48:50
R1039,A357,HALL_A,2025-09-01T08:26:45
R1186,A230,LOBBY,2025-09-01T12:50:53
R1265,A373,HALL_C,2025-09-01T13:41:02
R1182,A269,HALL_A,2025-09-01T11:32:32
R1203,A171,HALL_C,2025-09-01T17:47:46
R1049,A167,HALL_B,2025-09-01T14:56:28
R1079,A245,FOOD_COURT,2025-09-01T14:31:50
R1290,A341,LOBBY,2025-09-01T17:56:34
R1164,A150,HALL_C,2025-09-01T14:45:01
R1009,A184,LOBBY,2025-09-01T14:22:36
R1137,A114,HALL_A,2025-09-01T15:15:44
R1268,A232,HALL_A,2025-09-01T16:51:32
R1294,A255,HALL_C,2025-09-01T15:15:46
R1170,A157,HALL_C,2025-09-01T15:23:26
R1007,A189,HALL_A,2025-09-01T17:18:11
R1268,A209,HALL_B,2025-09-01T11:29:37
R1004,A357,HALL_B,2025-09-01T16:02:24
R1209,A257,FOOD_COURT,2025-09-01T10:35:43
R1173,A328,LOBBY,2025-09-01T16:07:57
R1038,A289,LOBBY,2025-09-01T16:20:45
R1183,A393,HALL_A,2025-09-01T11:21:07
R1112,A267,HALL_A,2025-09-01T08:46:54
R1156,A365,LOBBY,2025-09-01T12:08:20
R1267,A359,LOBBY,2025-09-01T17:35:48
R1292,A386,HALL_C,2025-09-01T08:40:00
R1262,A311,HALL_B,2025-09-01T13:02:43
R1254,A398,LOBBY,2025-09-01T11:05:30
R1188,A246,LOBBY,2025-09-01T17:23:52
R1009,A361,HALL_C,2025-09-01T17:14:10
R1157,A275,HALL_C,2025-09-01T13:16:12
R1106,A177,HALL_B,2025-09-01T10:12:25
R1001,A396,HALL_B,2025-09-01T09:41:19
R1188,A314,HALL_C,2025-09-01T15:36:51
R1240,A129,FOOD_COURT,2025-09-01T15:43:24
R1081,A184,HALL_A,2025-09-01T08:55:24
R1139,A159,LOBBY,2025-09-01T09:27:53
R1228,A259,HALL_C,2025-09-01T17:45:23
R1278,A164,LOBBY,2025-09-01T11:28:58
R1018,A120,HALL_C,2025-09-01T13:43:22
R1232,A339,LOBBY,2025-09-01T15:23:55
R1097,A400,LOBBY,2025-09-01T16:45:47
R1289,A307,HALL_B,2025-09-01T10:24:23
R1185,A383,HALL_C,2025-09-01T14:17:06
R1006,A187,HALL_C,2025-09-01T17:40:08
R1160,A291,HALL_B,2025-09-01T17:41:53
R1029,A308,LOBBY,2025-09-01T09:38:26
R1235,A331,FOOD_COURT,2025-09-01T17:17:03
R1283,A334,HALL_A,2025-09-01T13:17:14
R1098,A109,HALL_B,2025-09-01T12:48:00
R1260,A175,FOOD_COURT,2025-09-01T15:35:43
R1001,A127,HALL_C,2025-09-01T16:51:38
R1250,A277,FOOD_COURT,2025-09-01T12:15:47
R1215,A325,LOBBY,2025-09-01T08:32:03
R1082,A398,LOBBY,2025-09-01T14:42:51
R1007,A174,HALL_B,2025-09-01T11:39:52
R1147,A120,HALL_A,2025-09-01T15:27:31
R1047,A275,HALL_C,2025-09-01T12:58:17
R1146,A383,HALL_C,2025-09-01T10:03:41
R1258,A313,FOOD_COURT,2025-09-01T14:01:56
R1065,A200,HALL_C,2025-09-01T13:36:17
R1086,A358,FOOD_COURT,2025-09-01T17:59:19
R1275,A163,FOOD_COURT,2025-09-01T13:50:00
R1178,A226,FOOD_COURT,2025-09-01T16:30:41
R1168,A352,FOOD_COURT,2025-09-01T12:19:18
R1208,A399,LOBBY,2025-09-01T16:26:20
R1249,A398,HALL_C,2025-09-01T11:37:31
R1284,A160,FOOD_COURT,2025-09-01T15:17:39
R1281,A207,HALL_C,2025-09-01T16:48:51
R1176,A381,HALL_C,2025-09-01T16:57:13
R1287,A323,HALL_A,2025-09-01T13:05:56
R1261,A283,HALL_A,2025-09-01T16:57:22
R1262,A164,HALL_A,2025-09-01T10:23:45
R1075,A158,HALL_A,2025-09-01T09:13:20
R1106,A254,HALL_A,2025-09-01T15:22:32
R1278,A181,HALL_A,2025-09-01T14:57:50
R1050,A123,HALL_C,2025-09-01T09:01:44
R1294,A208,HALL_C,2025-09-01T08:43:34
R1066,A205,HALL_B,2025-09-01T08:35:32
R1235,A225,HALL_A,2025-09-01T14:08:29
R1173,A322,FOOD_COURT,2025-09-01T13:03:42
R1113,A114,HALL_A,2025-09-01T09:31:18
R1260,A255,FOOD_COURT,2025-09-01T15:29:40
R1297,A164,LOBBY,2025-09-01T15:41:48
R1204,A385,LOBBY,2025-09-01T16:15:26
R1283,A162,HALL_B,2025-09-01T08:52:02
R1044,A169,LOBBY,2025-09-01T14:08:38
R1146,A186,FOOD_COURT,2025-09-01T13:16:46
R1183,A224,HALL_A,2025-09-01T16:33:58
R1136,A171,HALL_A,2025-09-01T15:52:15
R1227,A252,FOOD_COURT,2025-09-01T12:36:23
R1226,A135,HALL_B,2025-09-01T08:24:50
R1214,A273,HALL_B,2025-09-01T08:19:16
R1193,A196,LOBBY,2025-09-01T14:57:23
R1008,A371,HALL_C,2025-09-01T11:26:41
R1165,A364,HALL_C,2025-09-01T16:12:23
R1022,A194,HALL_B,2025-09-01T13:18:34
R1271,A116,HALL_A,2025-09-01T09:04:08
R1115,A352,LOBBY,2025-09-01T10:48:50
R1234,A143,HALL_B,2025-09-01T08:45:12
R1063,A123,HALL_C,2025-09-01T16:56:18
R1249,A373,HALL_C,2025-09-01T14:48:17
R1058,A302,HALL_B,2025-09-01T09:48:58
R1159,A271,HALL_A,2025-09-01T12:36:38
R1098,A253,HALL_C,2025-09-01T12:28:23
R1253,A209,HALL_B,2025-09-01T17:04:57
R1277,A304,HALL_A,2025-09-01T08:33:11
R1248,A209,HALL_C,2025-09-01T17:05:56
R1209,A333,LOBBY,2025-09-01T13:39:19
R1029,A392,HALL_A,2025-09-01T14:19:15
R1053,A105,HALL_A,2025-09-01T10:40:36
R1146,A218,HALL_C,2025-09-01T15:16:00
R1252,A147,HALL_C,2025-09-01T10:04:49
R1024,A389,HALL_A,2025-09-01T16:11:31
R1264,A259,LOBBY,2025-09-01T09:22:39
R1211,A344,HALL_B,2025-09-01T14:13:32
R1291,A176,HALL_C,2025-09-01T11:05:00
R1209,A299,LOBBY,2025-09-01T15:06:57
R1070,A332,HALL_C,2025-09-01T12:39:53
