ticket_id,attendee_id,gate_id,timestamp
T0199,A371,G2,2025-09-01T17:08:14
T0200,A145,G2,2025-09-01T13:11:42
T0201,A229,G3,2025-09-01T13:43:15
T0202,A265,G3,2025-09-01T17:45:43
T0203,A180,G1,2025-09-01T10:38:55
T0204,A102,G1,2025-09-01T12:22:43
T0205,A296,G3,2025-09-01T12:48:37
T0206,A253,G3,2025-09-01T17:19:32
T0207,A226,G1,2025-09-01T15:34:07
T0208,A263,G4,2025-09-01T16:32:34
T0209,A365,G2,2025-09-01T15:12:04
T0210,A372,G4,2025-09-01T14:46:51
T0211,A241,G2,2025-09-01T14:49:07
T0212,A144,G3,2025-09-01T15:19:36
T0213,A398,G2,2025-09-01T12:30:43
T0214,A341,G2,2025-09-01T10:35:37
T0215,A173,G4,2025-09-01T08:31:04
T0216,A228,G3,2025-09-01T10:13:08
T0217,A169,G1,2025-09-01T10:39:39
T0218,A276,G1,2025-09-01T12:29:37
T0219,A164,G4,2025-09-01T13:35:48
T0220,A323,G3,2025-09-01T14:02:46
T0221,A108,G3,2025-09-01T11:09:25
T0222,A295,G3,2025-09-01T17:42:31
T0223,A139,G2,2025-09-01T16:07:21
T0224,A178,G1,2025-09-01T17:28:23
T0225,A306,G4,2025-09-01T11:49:48
T0226,A323,G2,2025-09-01T17:42:57
T0227,A144,G4,2025-09-01T12:25:31
T0228,A195,G1,2025-09-01T16:29:34
T0229,A381,G1,2025-09-01T13:42:23
T0230,A339,G3,2025-09-01T10:04:53
T0231,A199,G3,2025-09-01T12:26:59
T0232,A334,G4,2025-09-01T14:20:57
T0233,A178,G3,2025-09-01T09:23:20
T0234,A230,G3,2025-09-01T17:10:09
T0235,A312,G4,2025-09-01T11:48:13
T0236,A280,G3,2025-09-01T14:55:46
T0237,A228,G2,2025-09-01T12:25:00
T0238,A357,G1,2025-09-01T11:22:28
T0239,A254,G2,2025-09-01T11:54:19
T0240,A389,G4,2025-09-01T10:25:38
T0241,A374,G2,2025-09-01T13:17:46
T0242,A251,G3,2025-09-01T12:07:15
T0243,A224,G4,2025-09-01T08:20:06
T0244,A213,G1,2025-09-01T13:08:52
T0245,A397,G1,2025-09-01T15:19:49
T0246,A181,G3,2025-09-01T17:05:54
T0247,A352,G4,2025-09-01T10:22:21
T0248,A104,G4,2025-09-01T13:41:02
T0249,A339,G1,2025-09-01T13:49:19
T0250,A193,G3,2025-09-01T12:20:58
T0251,A347,G3,2025-09-01T15:25:12
T0252,A129,G1,2025-09-01T11:17:57
T0253,A131,G1,2025-09-01T15:54:08
T0254,A263,G3,2025-09-01T15:04:17
T0255,A164,G4,2025-09-01T11:32:51
T0256,A155,G4,2025-09-01T12:20:29
T0257,A257,G2,2025-09-01T13:01:59
T0258,A195,G1,2025-09-01T10:28:12
T0259,A375,G1,2025-09-01T10:35:31
T0260,A249,G1,2025-09-01T09:19:04
T0261,A264,G2,2025-09-01T17:41:07
T0262,A124,G4,2025-09-01T16:25:20
T0263,A274,G4,2025-09-01T17:20:02
T0264,A233,G2,2025-09-01T16:09:47
T0265,A343,G1,2025-09-01T17:51:38
T0266,A190,G3,2025-09-01T14:25:56
T0267,A198,G1,2025-09-01T10:16:06
T0268,A294,G4,2025-09-01T14:33:51
T0269,A336,G1,2025-09-01T16:53:34
T0270,A141,G4,2025-09-01T14:41:18
T0271,A317,G2,2025-09-01T13:34:02
T0272,A115,G1,2025-09-01T13:05:28
T0273,A306,G3,2025-09-01T08:46:29
T0274,A235,G3,2025-09-01T17:51:19
T0275,A211,G3,2025-09-01T13:53:33
T0276,A348,G1,2025-09-01T09:12:41
T0277,A187,G4,2025-09-01T12:56:45
T0278,A192,G4,2025-09-01T17:16:46
T0279,A208,G1,2025-09-01T08:05:12
T0280,A305,G2,2025-09-01T17:38:38
T0281,A362,G2,2025-09-01T10:22:39
T0282,A247,G4,2025-09-01T13:55:39
T0283,A348,G2,2025-09-01T16:09:57
T0284,A187,G3,2025-09-01T15:08:56
T0285,A204,G4,2025-09-01T10:48:03
T0286,A374,G2,2025-09-01T14:33:32
T0287,A324,G1,2025-09-01T17:43:41
T0288,A214,G2,2025-09-01T11:56:45
T0289,A214,G3,2025-09-01T17:56:33
T0290,A212,G2,2025-09-01T15:28:04
T0291,A398,G1,2025-09-01T13:59:37
T0292,A343,G2,2025-09-01T13:39:05
T0293,A212,G1,2025-09-01T14:49:58
T0294,A113,G2,2025-09-01T14:23:08
T0295,A329,G2,2025-09-01T11:47:18
T0296,A228,G1,2025-09-01T14:20:48
T0297,A295,G1,2025-09-01T15:11:43
T0298,A128,G1,2025-09-01T13:55:53
T0299,A388,G4,2025-09-01T15:51:34
T0300,A184,G4,2025-09-01T14:22:42
T0301,A139,G4,2025-09-01T17:20:40
T0302,A151,G4,2025-09-01T17:20:00
T0303,A188,G1,2025-09-01T12:21:04
T0304,A209,G1,2025-09-01T17:21:28
T0305,A133,G2,2025-09-01T10:34:28
T0306,A240,G3,2025-09-01T15:45:51
T0307,A167,G3,2025-09-01T09:13:15
T0308,A384,G3,2025-09-01T09:30:23
T0309,A280,G1,2025-09-01T09:18:03
T0310,A362,G3,2025-09-01T12:23:18
T0311,A149,G4,2025-09-01T17:22:43
T0312,A254,G3,2025-09-01T13:54:40
T0313,A190,G1,2025-09-01T14:15:08
T0314,A254,G4,2025-09-01T09:14:28
T0315,A324,G2,2025-09-01T08:14:37
T0316,A107,G2,2025-09-01T16:34:39
T0317,A352,G1,2025-09-01T15:29:13
T0318,A239,G4,2025-09-01T16:07:01
T0319,A330,G3,2025-09-01T13:02:35
T0320,A315,G3,2025-09-01T12:20:15
T0321,A229,G3,2025-09-01T08:53:02
T0322,A316,G4,2025-09-01T16:13:36
T0323,A187,G3,2025-09-01T14:36:04
T0324,A104,G3,2025-09-01T14:55:39
T0325,A285,G2,2025-09-01T16:24:51
T0326,A143,G1,2025-09-01T17:48:51
T0327,A297,G4,2025-09-01T13:42:12
T0328,A288,G2,2025-09-01T14:51:34
T0329,A117,G3,2025-09-01T13:38:06
T0330,A282,G4,2025-09-01T10:18:14
T0331,A349,G2,2025-09-01T13:21:57
T0332,A200,G3,2025-09-01T16:11:01
T0333,A186,G2,2025-09-01T11:21:29
T0334,A206,G2,2025-09-01T12:18:56
T0335,A333,G4,2025-09-01T14:30:32
T0336,A105,G4,2025-09-01T14:53:50
T0337,A276,G4,2025-09-01T11:59:06
T0338,A199,G2,2025-09-01T12:13:03
T0339,A224,G3,2025-09-01T14:12:27
T0340,A388,G4,2025-09-01T17:47:30
T0341,A141,G2,2025-09-01T09:49:09
T0342,A258,G1,2025-09-01T15:27:10
T0343,A368,G4,2025-09-01T16:55:59
T0344,A162,G1,2025-09-01T11:34:34
T0345,A225,G4,2025-09-01T15:06:01
T0346,A211,G3,2025-09-01T12:35:09
T0347,A398,G3,2025-09-01T16:50:24
T0348,A315,G1,2025-09-01T09:40:45
T0349,A200,G4,2025-09-01T10:39:17
T0350,A369,G4,2025-09-01T13:40:20
T0351,A184,G1,2025-09-01T11:48:35
T0352,A314,G2,2025-09-01T09:59:44
T0353,A305,G1,2025-09-01T17:27:29
T0354,A277,G2,2025-09-01T08:58:14
T0355,A188,G2,2025-09-01T16:38:00
T0356,A246,G3,2025-09-01T13:18:36
T0357,A237,G1,2025-09-01T11:37:56
T0358,A373,G4,2025-09-01T16:56:34
T0359,A195,G2,2025-09-01T15:24:16
T0360,A238,G3,2025-09-01T09:00:52
T0361,A218,G1,2025-09-01T10:37:45
T0362,A111,G4,2025-09-01T13:31:38
T0363,A200,G1,2025-09-01T12:36:02
T0364,A253,G1,2025-09-01T08:31:49
T0365,A230,G3,2025-09-01T14:20:58
T0366,A389,G3,2025-09-01T09:16:52
T0367,A325,G1,2025-09-01T09:04:56
T0368,A195,G4,2025-09-01T17:07:40
T0369,A326,G4,2025-09-01T15:26:06
T0370,A227,G3,2025-09-01T10:14:52
T0371,A168,G3,2025-09-01T10:09:56
T0372,A356,G2,2025-09-01T15:14:22
T0373,A225,G3,2025-09-01T12:24:12
T0374,A214,G4,2025-09-01T10:07:56
T0375,A345,G3,2025-09-01T14:29:01
T0376,A323,G2,2025-09-01T17:36:30
T0377,A386,G4,2025-09-01T12:46:39
T0378,A285,G2,2025-09-01T11:39:07
T0379,A123,G2,2025-09-01T17:20:21
T0380,A255,G3,2025-09-01T13:40:03
T0381,A271,G3,2025-09-01T15:40:46
T0382,A219,G1,2025-09-01T12:39:44
T0383,A119,G1,2025-09-01T08:31:52
T0384,A158,G1,2025-09-01T11:57:41
T0385,A252,G2,2025-09-01T15:41:09
T0386,A321,G1,2025-09-01T13:52:22
T0387,A190,G3,2025-09-01T13:24:14
T0388,A124,G2,2025-09-01T09:20:26
T0389,A204,G3,2025-09-01T15:38:38
T0390,A162,G3,2025-09-01T08:14:15
T0391,A400,G3,2025-09-01T08:32:43
T0392,A365,G3,2025-09-01T10:38:26
T0393,A253,G3,2025-09-01T09:36:57
T0394,A114,G1,2025-09-01T16:02:31
T0395,A309,G3,2025-09-01T15:40:10
T0396,A114,G4,2025-09-01T15:01:32
T0397,A375,G3,2025-09-01T08:19:26
T0398,A346,G3,2025-09-01T14:04:29
T0399,A279,G3,2025-09-01T10:52:33
T0400,A322,G4,2025-09-01T17:05:09
T0401,A124,G1,2025-09-01T08:31:21
T0402,A232,G4,2025-09-01T16:09:49
T0403,A352,G4,2025-09-01T16:19:22
T0404,A393,G4,2025-09-01T15:39:19
T0405,A202,G4,2025-09-01T15:28:25
T0406,A133,G1,2025-09-01T08:12:55
T0407,A170,G3,2025-09-01T08:04:16
T0408,A102,G2,2025-09-01T12:45:42
T0409,A318,G1,2025-09-01T09:23:51
T0410,A347,G4,2025-09-01T12:55:03
T0411,A366,G2,2025-09-01T15:00:23
T0412,A141,G4,2025-09-01T10:02:24
T0413,A206,G1,2025-09-01T17:11:32
T0414,A381,G3,2025-09-01T09:05:07
T0415,A285,G4,2025-09-01T14:27:25
T0416,A227,G4,2025-09-01T11:40:52
T0417,A194,G1,2025-09-01T16:53:33
T0418,A351,G4,2025-09-01T08:04:30
T0419,A288,G3,2025-09-01T17:15:40
T0420,A266,G2,2025-09-01T10:25:59
T0421,A349,G3,2025-09-01T08:05:33
T0422,A188,G3,2025-09-01T17:39:56
T0423,A208,G2,2025-09-01T16:03:02
T0424,A105,G2,2025-09-01T11:27:59
T0425,A277,G2,2025-09-01T09:01:08
T0426,A253,G1,2025-09-01T11:19:03
T0427,A178,G4,2025-09-01T09:22:56
T0428,A239,G1,2025-09-01T15:29:38
T0429,A115,G4,2025-09-01T11:45:51
T0430,A298,G2,2025-09-01T11:30:18
T0431,A121,G2,2025-09-01T16:17:18
T0432,A313,G3,2025-09-01T09:37:37
T0433,A363,G1,2025-09-01T13:10:44
T0434,A312,G3,2025-09-01T16:17:49
T0435,A181,G4,2025-09-01T13:34:56
T0436,A169,G1,2025-09-01T16:44:02
T0437,A175,G4,2025-09-01T13:55:25
T0438,A222,G2,2025-09-01T08:43:58
T0439,A381,G2,2025-09-01T12:17:22
T0440,A232,G3,2025-09-01T08:25:59
T0441,A111,G2,2025-09-01T11:38:19
T0442,A189,G4,2025-09-01T08:08:37
T0443,A197,G1,2025-09-01T15:04:48
T0444,A134,G2,2025-09-01T10:11:43
T0445,A185,G2,2025-09-01T14:55:16
T0446,A215,G3,2025-09-01T08:59:50
T0447,A258,G3,2025-09-01T12:03:35
T0448,A393,G3,2025-09-01T15:21:49
T0449,A147,G4,2025-09-01T17:40:48
T0450,A232,G3,2025-09-01T12:14:57
T0451,A272,G2,2025-09-01T13:08:43
T0452,A345,G3,2025-09-01T08:51:30
T0453,A344,G4,2025-09-01T17:02:52
T0454,A268,G4,2025-09-01T10:51:07
T0455,A345,G4,2025-09-01T14:50:01
T0456,A284,G4,2025-09-01T10:11:18
T0457,A152,G3,2025-09-01T08:46:54
T0458,A355,G2,2025-09-01T17:25:56
T0459,A108,G3,2025-09-01T14:22:26
T0460,A327,G1,2025-09-01T16:45:38
T0461,A280,G2,2025-09-01T09:37:26
T0462,A151,G3,2025-09-01T13:27:59
T0463,A381,G4,2025-09-01T12:01:09
T0464,A375,G4,2025-09-01T13:32:33
T0465,A263,G1,2025-09-01T16:37:04
T0466,A121,G1,2025-09-01T09:35:17
T0467,A109,G4,2025-09-01T08:30:59
T0468,A117,G2,2025-09-01T11:57:09
T0469,A331,G2,2025-09-01T17:17:08
T0470,A181,G2,2025-09-01T16:07:49
T0471,A109,G3,2025-09-01T15:39:55
T0472,A196,G3,2025-09-01T17:20:18
T0473,A242,G3,2025-09-01T12:14:12
T0474,A392,G4,2025-09-01T11:36:32
T0475,A212,G3,2025-09-01T11:37:09
T0476,A191,G2,2025-09-01T11:04:15
T0477,A108,G4,2025-09-01T10:41:44
T0478,A306,G4,2025-09-01T12:23:15
T0479,A357,G3,2025-09-01T09:35:11
T0480,A230,G2,2025-09-01T10:35:33
T0481,A241,G4,2025-09-01T08:02:40
T0482,A172,G1,2025-09-01T17:06:33
T0483,A399,G2,2025-09-01T08:21:19
T0484,A366,G2,2025-09-01T14:09:45
T0485,A336,G4,2025-09-01T08:29:50
T0486,A316,G2,2025-09-01T17:06:24
T0487,A240,G1,2025-09-01T15:43:31
T0488,A285,G3,2025-09-01T08:17:52
T0489,A179,G2,2025-09-01T17:39:50
T0490,A231,G4,2025-09-01T10:08:52
T0491,A354,G3,2025-09-01T13:20:19
T0492,A174,G1,2025-09-01T08:18:14
T0493,A326,G2,2025-09-01T10:09:27
T0494,A270,G1,2025-09-01T15:11:13
T0495,A296,G3,2025-09-01T09:28:07
T0496,A367,G1,2025-09-01T08:15:48
T0497,A203,G2,2025-09-01T16:02:31
T0498,A341,G1,2025-09-01T09:07:18
T0499,A377,G3,2025-09-01T13:57:48
T0500,A142,G3,2025-09-01T09:50:23
T0501,A303,G4,2025-09-01T11:09:42
T0502,A215,G4,2025-09-01T10:50:09
T0503,A224,G2,2025-09-01T10:07:09
T0504,A240,G2,2025-09-01T13:38:01
T0505,A252,G3,2025-09-01T08:57:35
T0506,A270,G2,2025-09-01T12:27:17
T0507,A378,G4,2025-09-01T11:12:32
T0508,A322,G1,2025-09-01T16:46:16
T0509,A179,G3,2025-09-01T16:14:23
T0510,A290,G1,2025-09-01T08:23:15
T0511,A295,G3,2025-09-01T17:32:36
T0512,A197,G2,2025-09-01T10:43:30
T0513,A392,G4,2025-09-01T08:01:55
T0514,A236,G2,2025-09-01T13:53:46
T0515,A291,G2,2025-09-01T09:28:20
T0516,A101,G1,2025-09-01T14:04:37
T0517,A253,G4,2025-09-01T12:05:01
T0518,A329,G4,2025-09-01T15:18:21
T0519,A101,G3,2025-09-01T11:30:19
T0520,A174,G4,2025-09-01T08:00:30
T0521,A382,G4,2025-09-01T17:56:00
T0522,A315,G2,2025-09-01T16:04:08
T0523,A175,G3,2025-09-01T11:34:39
T0524,A393,G3,2025-09-01T10:33:46
T0525,A304,G3,2025-09-01T11:05:45
T0526,A299,G1,2025-09-01T12:15:35
T0527,A378,G1,2025-09-01T17:40:50
T0528,A126,G1,2025-09-01T08:53:05
T0529,A236,G2,2025-09-01T11:23:36
T0530,A237,G2,2025-09-01T11:14:23
T0531,A327,G1,2025-09-01T13:21:44
T0532,A297,G1,2025-09-01T08:45:55
T0533,A104,G2,2025-09-01T16:13:36
T0534,A182,G3,2025-09-01T13:05:18
T0535,A180,G4,2025-09-01T11:18:38
T0536,A281,G2,2025-09-01T14:37:19
T0537,A358,G1,2025-09-01T11:13:41
T0538,A306,G1,2025-09-01T16:29:55
T0539,A254,G2,2025-09-01T09:05:32
T0540,A326,G4,2025-09-01T11:37:37
T0541,A347,G2,2025-09-01T17:17:14
T0542,A332,G2,2025-09-01T15:17:45
T0543,A313,G1,2025-09-01T17:38:19
T0544,A381,G3,2025-09-01T16:54:19
T0545,A381,G2,2025-09-01T16:58:20
T0546,A197,G4,2025-09-01T16:21:50
T0547,A112,G2,2025-09-01T12:46:28
T0548,A128,G4,2025-09-01T08:47:07
T0549,A169,G2,2025-09-01T08:38:55
T0550,A143,G1,2025-09-01T09:25:52
T0551,A171,G2,2025-09-01T12:40:56
T0552,A240,G4,2025-09-01T17:58:56
T0553,A251,G3,2025-09-01T09:21:17
T0554,A113,G2,2025-09-01T09:05:49
T0555,A242,G2,2025-09-01T12:19:37
T0556,A233,G4,2025-09-01T15:55:07
T0557,A148,G1,2025-09-01T17:52:09
T0558,A382,G4,2025-09-01T12:02:05
T0559,A154,G4,2025-09-01T13:20:02
T0560,A160,G2,2025-09-01T17:38:09
T0561,A250,G4,2025-09-01T15:49:31
T0562,A217,G1,2025-09-01T15:35:09
T0563,A285,G3,2025-09-01T14:23:35
T0564,A183,G2,2025-09-01T11:45:13
T0565,A324,G2,2025-09-01T15:23:55
T0566,A282,G1,2025-09-01T14:26:35
T0567,A187,G1,2025-09-01T08:33:13
T0568,A339,G1,2025-09-01T12:27:43
T0569,A220,G3,2025-09-01T08:19:09
T0570,A187,G1,2025-09-01T09:15:11
T0571,A368,G2,2025-09-01T10:36:37
T0572,A161,G1,2025-09-01T08:51:32
T0573,A191,G3,2025-09-01T13:05:20
T0574,A399,G4,2025-09-01T08:24:14
T0575,A124,G1,2025-09-01T11:29:08
T0576,A167,G4,2025-09-01T17:30:48
T0577,A212,G4,2025-09-01T09:48:25
T0578,A302,G4,2025-09-01T14:55:35
T0579,A210,G4,2025-09-01T12:11:17
T0580,A235,G2,2025-09-01T10:14:43
T0581,A271,G4,2025-09-01T11:48:52
T0582,A314,G4,2025-09-01T11:13:09
T0583,A315,G1,2025-09-01T13:57:16
T0584,A185,G3,2025-09-01T13:51:47
T0585,A138,G3,2025-09-01T13:58:50
T0586,A244,G4,2025-09-01T15:26:13
T0587,A213,G1,2025-09-01T12:34:53
T0588,A318,G1,2025-09-01T10:08:15
T0589,A250,G3,2025-09-01T08:46:21
T0590,A102,G1,2025-09-01T08:07:08
T0591,A178,G4,2025-09-01T11:31:33
T0592,A310,G4,2025-09-01T16:00:01
T0593,A114,G1,2025-09-01T11:08:43
T0594,A116,G2,2025-09-01T12:51:25
T0595,A333,G2,2025-09-01T15:31:35
T0596,A198,G2,2025-09-01T14:25:48
T0597,A400,G2,2025-09-01T13:23:31
T0598,A239,G3,2025-09-01T10:34:15
T0599,A193,G3,2025-09-01T17:22:58
T0600,A144,G3,2025-09-01T17:22:37
T0601,A176,G3,2025-09-01T17:39:39
T0602,A130,G2,2025-09-01T15:59:43
T0603,A210,G1,2025-09-01T13:19:04
T0604,A298,G3,2025-09-01T12:38:43
T0605,A348,G2,2025-09-01T08:05:03
T0606,A108,G3,2025-09-01T09:52:02
